,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
335214,2734662_8547,05:14:56,05:14:56,18,5 Tannehill EB,0,5,1,1,30.320538,-97.735873,1215 51st/Grover,False
259069,2731955_5949,05:14:59,05:14:59,15,333 Thaxton EB,1,333,1,1,30.204892,-97.840165,3709 Eskew/Croftwood,False
46804,2726327_0637,05:15:00,05:15:00,45,10 Southpark Meadows SB,0,10,1,1,30.239755,-97.761235,2522 S 1st/Herndon,False
125227,2728278_2500,05:15:00,05:15:00,7,217 ACC Riverside SB,1,217,1,1,30.236954,-97.702062,Hogan/Community,False
130002,2728757_2873,05:15:00,05:15:00,14,243 Tech Ridge Park & Ride EB,1,243,1,1,30.418565,-97.669112,Tech Ridge Bay E,False
199998,2729898_4041,05:15:00,05:15:00,1,310 ACC Riverside EB,0,310,1,1,30.222917,-97.766932,South Congress Bay B,False
288852,2732822_6752,05:15:00,05:15:00,6,345 Hancock Center EB,1,345,1,1,30.31298,-97.736887,909 45th/Lamar,False
305572,2733240_7311,05:15:00,05:15:00,1,383 North Lamar Transit Center SB,1,383,1,1,30.480562,-97.786668,Lakeline Station Bay H,False
394579,2736641_13566,05:15:00,05:15:00,45,7 Airport/Highland NB,1,7,1,1,30.288776,-97.734397,2525 San Jacinto/Dean Keeton,False
436977,2737073_14230,05:15:00,05:15:00,6,801 Tech Ridge Park & Ride NB,0,801,1,1,30.222941,-97.76628,South Congress Station Bay J,False
450201,2737566_14686,05:15:00,05:15:00,6,803 Domain NB,0,803,1,1,30.254034,-97.762592,Lamar Square Station (NB),False
456584,2737648_14914,05:15:00,05:15:00,5,803 Westgate Transit Center SB,1,803,1,1,30.371234,-97.727017,Crossroads Station (SB),False
341508,2734699_8650,05:15:02,05:15:02,29,5 Northcross WB,1,5,1,1,30.270962,-97.752215,842 6th/Wood,False
162779,2729316_3519,05:15:04,05:15:04,22,30 Westgate Transit Center SB,1,30,1,1,30.339599,-97.755793,5758 Balcones/Hart,False
204844,2730166_4243,05:15:05,05:15:05,7,311 ACC RIVERSIDE EB,1,311,1,1,30.227305,-97.802541,4900 West Gate/Choctaw Trail,False
239058,2731157_5342,05:15:07,05:15:07,8,323 Northcross WB,0,323,1,1,30.35279,-97.72362,1700 Anderson/Wooten Park,False
382947,2736643_13379,05:15:07,05:15:07,7,7 Crestview Station NB,1,7,1,1,30.18276,-97.745408,Pleasant Valley/Creek Bend,False
228165,2730789_4939,05:15:08,05:15:08,6,318 Westgate Transit Center WB,1,318,1,1,30.167111,-97.783798,149 Slaughter/35,False
223484,2730753_4837,05:15:11,05:15:11,17,318 Thaxton EB,0,318,1,1,30.201795,-97.81873,7408 West Gate/Grennock,False
173312,2729529_3666,05:15:15,05:15:15,7,300 Crestview Station NB,1,300,1,1,30.245377,-97.779693,2639 Lamar/Dickson,False
76682,2726824_1067,05:15:17,05:15:17,2,135 Tech Ridge Park & Ride NB,0,135,1,1,30.26848,-97.69626,1135 Airport/Goodwin,False
410130,2736572_13819,05:15:17,05:15:17,48,7 William Cannon SB,0,7,1,1,30.212493,-97.748209,Freidrich/Directors,False
